path,sentence
Kurang Fasih/kecap.mp3, "waduh basang titiang seduk gati, timpal timpal sinamian ngerayunan nggih titiang ngajeng dumunan seduk."
Kurang Fasih/Manik.mp3, "Subak inggih punika silih tunggil sistem irigrasi traditional sane wenten ring Bali sistem puniki nenten je wantah ngatur indik yeh ring carik nanging taler medasar antuk filosofi tri hita karana,tri hita karana meteges ketiga jalaraan kebahagiaan inggih punika parahyangan hubungan manusa sareng Ida sang hyang widhi ring sabilang subak pastika wenten Pura subak pinake ke genah ngaturang bakti, Dua pawongan hubungan manuse sareng manuse parakrama subak ngelaksana bareng bareng gotong royong ngatur pembagian yeh mangda adil, telu palemahan hubungan manusa sareng palemahan rakyat Bali melihara tanha Len yeh mangda tetep prasida keanggen ngatos masa depan subak puniki sampun masuk ring jagat internasional tur kalinggatman ulih UNESCO pinaka warisan budaya Dunia punika mawinan iraga pinah pulau Bali patut jaga lan miara subak Niki mangda nenten puniki kapang kalah jaman."
Kurang Fasih/Mirah Pradnya.mp3, "Buka slokane, aji keteng mudah, aji dadua mael sukmanipun kaucapang ring anake sane neten uning ngajinin tresna lan paweweh anak."
Kurang Fasih/Semaya.mp3, "ida dane sareng sami tiang matur sukma antuk uratiyang druine titiang puputang antuk parama santhi."
Kurang Fasih/triasta.mp3, "Ring sekolah, sisiane sami sampun sayaga jagi masekolah. Bapak Guru sampun rauh. Materi pelajaran rahina puniki nguningayang indik basa Bali"
Fasih/gung wah.mp3, "Dina Galungan suba teka, makejang kulawarga tiange sibuk. Uling semeng suba macet di jalanan, nuju pura baduuran. Tiang matanjung-tanjung ngaba banten, meme tiange ngaba canang sari. Suasanane rame, ada anak negak ring bale banjar, ada masih anak ngigel di pura."
Fasih/Nanda.mp3, "Gus kel kije gus ?, ooo ke umah ne buk kita, nah gus mejalan ke kelod suud ento gus jalan ke kangin, nah ring dangin jalane ditu rumah ne buk kita."
Fasih/panji.mp3, "wastan titiang panji, titiang ngeranjing ring SMA Negeri 3 Depasar"
Fasih/pak nyoman.mp3, "Rahina ne mangkin, rahina radite jagi mabakti ring pura agung besakih sawatara berangkat mangkin jam pitu semengan. Nggih, asapunika atur piuning tiang."
Fasih/Wilwa.mp3, "Ainggih, sadurung titiang nglanturang atur, pinih kapertama ngiring ngaturang pangan jali, om swastyastu. Ring rahina sane becik paniki, titiang jagi maturang samatra nenin indik, puspa warsa."
