path,sentence
Kurang Fasih/kecap.mp3,  "Waduh.. basang titiang seduk gati.. timpal timpal senamian, ngerayunan geh.. titiang ngajeng dumunan.. seduk.."
Kurang Fasih/Manik.mp3, "Subah Ingger Punika, Silir Tunggil Sistem Irigasi Tradisional Sana Wyenton Ring Bali Sistem Punikin, Wyenton Jawa Antah Ngatur Indik, Ring Carik Nanging Talar, Medasar Antok Filosofi Trihita Karana Trihita Karana, Metega Satiga Jalanan Kebahagiaan Ingger Punika Parah Yangan, Hubungan Manusia, Sarang Idai Sangyang Widhi Ring Sabilang, Subah, Pastika Wyenton Pura Subah, Pinlaka, Genah, Ngaturang Bati Pawongan, Hubungan Manusia, Sarang Manusia, Parah Krama, Subah, Melaksana, Barang-Barang, Gotong, Royong Ngatur Pembagian Yeh, Mangda, Dil, Tlu, Palemahan, Hubungan Manusia, Sarang Palemahan, Rakyat Bali, Miara, Tanah, Len, Yeh, Mangda, Tetap, Prasida, Kanggan, Yantos, Masa depan Subah Puniki, Sampun Rasup Rang Jagat International Tour, Kaling, Gatman, Uleh, UNESCO, Pinlaka Warisan Budaya Dunia Pundi Kemawinan, Irage Pinlaka Krama Bali, Patut Nyage, Len, Miara, Subah Puniki, Mangda, Nantan, Punah, Kampang, Kalah, Jaman"
Kurang Fasih/Mirah Pradnya.mp3, "Buka selokannya, Aji Keteng Muda, Aji Dadua, Maal, Suksmanipun, Kau, Capang, Reng, Anake, Sanin, Entern, Uning, Ngajihin, Tresnelan, Pawawahan, Anak."
Kurang Fasih/Semaya.mp3, "Dan yang Sarang Sammi, yang matur susah semua untuk urat yang durinih, itu yang puputang untuk para mesantik."
Kurang Fasih/triasta.mp3, "Ring sekolah. Sisi ini samisampun saya dijagi mas sekolah. Bapak Guru Sampir Rauh, Matteri, Pelajaran Lahina Puniki, Ni, Nayang, Inde, Bahasa Bali."
Fasih/gung wah.mp3, "Di negalungan sebutekah, mekejang keluarga tiangi sibuk uling semengsubemacet di jalan, nuju pura berdoaran. Tiang metanjung-tanjung ngababantan memit tiangi ngabacan yang sehari, suasana ni rame, ada anak negar yang bali banyar, ada masa anak igal di pura."
Fasih/Nanda.mp3, "Gos, kelkinja gos. Oh, ke rumah ebu kita. Nah, gos menjalankan kelot. Nah, suatu tentu, gos jalan kekangin. Nah, ring dangin jalan. Dia dituruh rumah ebu kita."
Fasih/pak nyoman.mp3, "Rahina Nemangkin, Rahina Raditi, Jagi Mbakti, Keringpura Agung Besakeh, Sawatara, Perangkat Mankin Jam, Pitus Semangan."
Fasih/panji.mp3, "Wasta titiang panji, titiang geranjing ring SMA No.3 dan pasar."
Fasih/Wilwa.mp3, "Aingeh, sedurung titiang lanturang atur, pinih ke pertama nyering lanturang penganjal yuh, um swastas tuku. Ring raina sana baca peniki, titiang jagi maturang sama tereng meneneng indik, busfa warza."
