path,sentence
Kurang Fasih/kecap.mp3, "Waduh..basang titiang seduk gati. Timpal-timpal senamian ngerayunan, nggih? Titiang ngajeng dumunan. Seduk."
Kurang Fasih/Manik.mp3, "Subak inggih punika silih tunggil sistem biligasi tradisional sane wenten ring Bali. Sistem puniki wenten ja wantah ngatur indik yeh ring carik, nanging taler madasar antuk filosopi trihita karana. Trihita karana matega setiga jalaran kebahagiaan. Inggih punika parahiangan, hubungan manusa sareng ideh sanggah widi, ring sabilang subak pastika wenten pura subak pinlaka genah ngaturang bakti. Due pawongan, hubungan manusa sareng manusa, para krama subak malaksana bareng-bareng kotong royong, ngatur pambagian yeh mangda adil, telu palemahan. Hubungan manusa sareng palemahan rakyat Bali miara tanah len yeh mangda tetep prasida kaanggen nyantos masa depan. Subak puniki sampun rosup ring jagat intrasonal tur kaling gati-gati man olih UNESCO, pinaka warisan budaya dunia. Punika mawinan iraga pinaka krama Bali patut nyaga lan miara subak puniki mangda nénten punah kampang kalah jaman."
Kurang Fasih/Mirah Pradnya.mp3, "Buka selokane aji keting muda aji dadua mael suksman ipun kaucapang ring anake sane nenten uning ngajihin tresna lan pawawahan anak."
Kurang Fasih/Semaya.mp3, "Dane sareng sami tiang matur suksma antuk urat tiang duiné, didiang puputang antuk para masanti."
Kurang Fasih/triasta.mp3, "Ring sekolah, sisnyane sami sampun sayagi jagi mas sekolah. Bapa guru sampun rauh. Materi, plajaran lahina puniki, ngi, nayang, indik bahasa Bali."
Fasih/gung wah.mp3, "Dina Galungan suba tekeh. Makejang keluarga tiange sibuk. Uling semeng suba macet di jalan, nuju pura baduuran. Tiang matanjung tanjung ngaba banten. Meme tiange ngaba canang sehari. Suasannane rame. Ada anak negak ring Bale Banjar. Ada masih anak ngigel di pura."
Fasih/Nanda.mp3, "Gus, ke kija, Gus? Oh, ke umah nebu kita. Nah, Gus majalang ka kelot. Nah, suudentu Gus jalan ka kangin. Nah, ring dangin jalanne dituruh umah nebu kita."
Fasih/pak nyoman.mp3, "Rahina ne mangkin, rahina radite jagi mabakti kring pura agung besakih, sawatara, perangkat mangkin jam pitu semengan. Nggih, asapunika atur pioning tiang."
Fasih/panji.mp3, "Wastan titiang panji, titiang ngranjing ring SMA Negeri Tiga Rainpasar."
Fasih/Wilwa.mp3, "Ainggih, sadurung titiang lanturang atur, pinih kapertama ngiring laturang pangan jaliuh, um suas tes tuk. Ring rahina sane becik paniki, titiang jagi maturang samatra nenin indik, pusva warsa."
