path	balinese	english	indonesian
clips/A-20260130164553-A.wav	Lamun kenten, kacang manten icen tiang abungkus, nggih? Oh nggih, suksma. Sareng-sareng, Mbok.	In that case, you can give me a bag of peanut, okay? Oh sure, thank you. You are welcome, Sister.	Kalau begitu, saya diberikan saja kacang sebungkus, ya? Oh iya, terima kasih. Sama-sama, Kak.
clips/A-20260130164556-Aa.wav	Aa..driki driki….driki, Pak, ngaleran.	Yes, here...here..Pak...go toward the north.	Aa..di sini….di sini, Pak, menuju utara.
clips/A-20260130164559-Aa.wav	Aa, uli i telun, anake suba manyi di umane ane badelodan.	Yes, since three days ago, they were harvesting at the southern rice field area.	Iya, sejak tiga hari lalu, orang sudah panen di ladang sebelah selatan.
clips/A-20260130164602-Aasan.wav	Aasan bungan pohé makacakan di natahé ulian ujané bales gati dibi sanja.	The falling mango flower was scattered on the yard because of heavy rain yesterday afternoon.	Remahan bunga mangga berserakan di halaman rumah karena hujan lebat kemarin sore.
clips/A-20260130164604-Aba.wav	Apa adane ento, aba satu toples dengan nestar, ditolak ajak dadongne.	What’s that about, he/she brings a jar of nestar (cookies), and grandma rejects them.	Apa namanya itu, dia bawa satu toples nestar, ditolak sama nenek.
clips/A-20260130164606-Abian.wav	Nah, eh… manis sing salakne niki Mara mbok ngalap ne di abian.	Okay, hey… is this snake fruit sweet? I just picked this from my farm.	Ya, eh… manis tidak salaknya ini? Baru saja Kakak petik di kebun.
clips/A-20260130164608-Abungkul.wav	Kuda hargane, Mbok? Lamun manggise akilo dasa tali, markisane limang tali aiket, durene dasa tali abungkul.	How much are all? Mangosteens are ten thousands for a kilo, passion fruits are five thousand for a package, and durians are ten thousands each.	Berapa harganya, Kak? Kalau manggis sekilonya sepuluh ribu, markisanya lima ribu seikat, durian sepuluh ribu satu buahnya.
clips/A-20260130164613-Ada.wav	Oh, makejang sambel matahe ento basane sing ada ane magoreng?	Oh, do you fry any of the ingredients for the raw chili sauce?	Oh, apakah sambal matah tersebut semua bumbunya tidak ada yang digoreng?
clips/A-20260130164616-Adan.wav	Adan tiang Nengah Sandat. E..umur tiang wau tiga puluh empat tahun.	This… my name Nengah Sandat. Eehhh.. my age is only thirty four years old.	Nama saya Nengah Sandat. E..umur saya baru tiga puluh empat tahun.
clips/A-20260130164624-Adeng.wav	Pinaka pangawit, Sari patut milih gerakan sane lemuh lan adeng.	As a beginner, you must use smooth and slow movements.	Sebagai awal, Sari sebaiknya memilih gerakan yang gemulai dan pelan.
clips/A-20260130164628-Adeng-adeng.wav	Sing kenyel..e..magae ngajang kayu (en)to, Bu? E..apin kenyel tiang, adeng-adeng tiang (a)pang wenten blanjaang tiang ..benjang nika.	Isn't it tiring..eh...carrying wood, madam? Eh...even though I'm tired I go slowly so that I have money to spend...tomorrow.	Tidakkah lelah..e..bekerja mengangkat kayu itu, Bu? E..biarpun saya lelah, saya pelan-pelan agar ada yang saya belanjakan ..besok itu.
